"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"1",6320,13711,"Anabas cobojius",51418,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2004-08-25T00:00:00.000Z",NA,"2004-08-25T00:00:00.000Z",NA,NA,NA,NA,13584
"2",319,511,"Anabas testudineus",7471,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"guarders","clutch tenders",NA,NA,NA,"High",7020,10,"1994-09-16T00:00:00.000Z",2,"2006-08-04T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Guards eggs at the surface of hypoxic waters (Ref. 7471).",NA,495
"3",5065,10352,"Ctenopoma acutirostre",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,339,"1998-08-19T00:00:00.000Z",2,"2017-07-19T00:00:00.000Z",NA,NA,NA,NA,10029
"4",1370,2690,"Ctenopoma kingsleyae",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,339,"1998-08-19T00:00:00.000Z",2,"2017-07-19T00:00:00.000Z",NA,NA,"Produces up to 20,000 eggs.",NA,2496
"5",5071,10365,"Ctenopoma maculatum",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,339,"1998-08-19T00:00:00.000Z",2,"2017-07-19T00:00:00.000Z",NA,NA,NA,NA,10042
"6",5064,10351,"Ctenopoma multispine",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,1057,"2003-07-01T00:00:00.000Z",2,"2017-07-19T00:00:00.000Z",NA,NA,NA,NA,10028
"7",5072,10366,"Ctenopoma muriei",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,339,"1998-08-19T00:00:00.000Z",2,"2017-07-19T00:00:00.000Z",NA,NA,"Produces 10-30 eggs during night time.",NA,10043
"8",2417,5003,"Ctenopoma nigropannosum",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,NA,NA,NA,NA,NA,2,"2004-03-03T00:00:00.000Z",NA,"2004-03-03T00:00:00.000Z",NA,NA,"Oviparous (Ref. 205).",NA,4779
"9",5074,10369,"Ctenopoma ocellatum",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,339,"1998-08-20T00:00:00.000Z",2,"2017-07-19T00:00:00.000Z",NA,NA,NA,NA,10046
"10",5077,10372,"Ctenopoma pellegrini",41595,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,2,"2002-04-08T00:00:00.000Z",2,"2017-07-19T00:00:00.000Z",NA,NA,NA,NA,10049
