"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"1",833,963,"Ariopsis felis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","paternal","1",205,NA,NA,2,"2010-11-01T00:00:00.000Z",NA,"2010-11-01T00:00:00.000Z",NA,NA,"Males carry the eggs in the mouth (Ref. 205).",NA,947
"2",6302,13649,"Ariopsis seemanni",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,339,"1998-07-02T00:00:00.000Z",1057,"2003-06-20T22:45:22.000Z",NA,NA,"Males mouthbrooder.",NA,13480
"3",979,1297,"Arius maculatus",7471,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","paternal","1",205,NA,NA,10,"1994-09-16T00:00:00.000Z",2,"2010-11-01T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Males incubate eggs in buccal cavity. During incubation, males starve which sometimes make them resort to swallowing one or two eggs probably to maintain basal metabolism (Ref. 43081). Early hatching embryos commence feeding on inhaled particles by the female when still in possession of large yolk.",NA,1280
"4",982,1308,"Arius madagascariensis",6868,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,10,"1998-03-10T00:00:00.000Z",NA,"1998-03-10T00:00:00.000Z",NA,NA,NA,NA,1291
"5",984,1313,"Arius subrostratus",43081,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","paternal","1",43081,NA,NA,2,"2002-11-15T00:00:00.000Z",2,"2010-11-01T00:00:00.000Z",NA,NA,"Males incubate the eggs in the buccal cavity.",NA,1295
"6",839,975,"Bagre marinus",205,"dioecism","external","polyandry",NA,205,"1",NA,0,NA,"bearers","external brooders","paternal","1",205,NA,NA,2,"2010-11-01T00:00:00.000Z",NA,"2010-11-01T00:00:00.000Z",NA,NA,"Each male carries not more than 50 eggs in its mouth, usually averaging from 15 to 30 (Ref. 205).",NA,959
"7",6143,13436,"Brustiarius nox",9233,"dioecism","external",NA,NA,NA,NA,"Throughout the year, but peaking once",0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,108,"1995-05-18T00:00:00.000Z",10,"1996-11-20T00:00:00.000Z",NA,NA,"Mouthbrooders. A typical brood mass contains 8 to 30 eggs (Ref. 2847).",NA,13128
"8",6141,13430,"Brustiarius solidus",9233,"dioecism","external",NA,NA,NA,NA,"Throughout the year, but peaking once",0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,108,"1995-05-18T00:00:00.000Z",10,"1996-11-20T00:00:00.000Z",NA,NA,"Mouthbrooders. Brood mass contains 8 to 85 eggs (Ref. 2847).",NA,13122
"9",7001,18578,"Cephalocassis borneensis",43281,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,10,"2002-10-10T00:00:00.000Z",NA,"2002-10-10T00:00:00.000Z",NA,NA,"Male carries the eggs in his mouth until hatching.",NA,23390
"10",8607,43109,"Cephalocassis manillensis",6868,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,10,"1999-02-23T00:00:00.000Z",NA,"1999-02-23T00:00:00.000Z",NA,NA,"Ovigerous female develops large pads on the inner side of the last ventral fin rays. As the few but large eggs are extruded, the pads serve to hold the eggs until they can be fertilized and taken into the mouth by the male. Male then incubates the eggs until hatching and continues to protect the fry in his mouth until the yolk sacs are completely absorbed.",NA,51585
