"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"1",1307,2541,"Abactochromis labrosus",1672,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","3",NA,NA,NA,339,"1998-06-30T00:00:00.000Z",2,"2014-06-27T00:00:00.000Z",NA,NA,NA,NA,2347
"2",5786,12584,"Acarichthys heckelii",7471,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,10,"1994-09-16T00:00:00.000Z",NA,"1996-03-16T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","A hole nester.      ",NA,12258
"3",5788,12586,"Acaronia nassa",40602,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders","biparental","1",40602,NA,NA,1,"2001-11-09T00:00:00.000Z",2,"2008-04-21T00:00:00.000Z",NA,NA,"Spawn on horizontal surface. Female tends eggs and male defends territory (Ref. 40602).",NA,12260
"4",8001,39232,"Acaronia vultuosa",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,46568
"5",8003,39234,"Aequidens chimantanus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,46570
"6",6134,13418,"Aequidens diadema",40602,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","biparental","1",40602,NA,NA,1,"2001-11-09T00:00:00.000Z",2,"2011-03-25T00:00:00.000Z",NA,NA,"Spawns on substrate; after hatching, both parents take larvae into mouth (Ref. 40602).",NA,13108
"7",8601,43026,"Aequidens epae",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,51471
"8",8600,43025,"Aequidens gerciliae",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,51469
"9",8005,39238,"Aequidens hoehnei",40602,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders","biparental","1",40602,NA,NA,1,"2001-11-10T00:00:00.000Z",2,"2008-04-21T00:00:00.000Z",NA,NA,"Both parents guard the eggs and young (Ref. 40602).",NA,46574
"10",8486,41905,"Aequidens mauesanus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,50071
"11",5794,12598,"Aequidens metae",40602,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,1,"2001-11-09T00:00:00.000Z",NA,"2001-09-11T00:00:00.000Z",NA,NA,NA,NA,12273
"12",8602,43027,"Aequidens michaeli",40602,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders","biparental","1",40602,NA,NA,1,"2001-11-10T00:00:00.000Z",2,"2008-04-21T00:00:00.000Z",NA,NA,"Eggs are deposited on hard substrate; eggs and larvae are defended by both parents (Ref. 40602).",NA,51472
"13",8007,39244,"Aequidens pallidus",40602,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,339,"1998-08-20T00:00:00.000Z",1,"2001-09-11T00:00:00.000Z",NA,NA,"Not a larvophil mouthbrooder (Ref. 40602).",NA,46581
"14",7583,20899,"Aequidens patricki",40602,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,1,"2001-11-09T00:00:00.000Z",NA,"2001-09-11T00:00:00.000Z",NA,NA,NA,NA,26733
"15",8009,39248,"Aequidens plagiozonatus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,46586
"16",8011,39253,"Aequidens potaroensis",40602,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders","biparental","1",40602,NA,NA,1,"2001-11-10T00:00:00.000Z",2,"2008-04-21T00:00:00.000Z",NA,NA,"Spawns on hard substrate: parents defend eggs and larvae (Ref. 40602).",NA,46594
"17",8663,43473,"Aequidens rondoni",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,52210
"18",5798,12604,"Aequidens tetramerus",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders","biparental","1",35237,NA,NA,339,"1998-08-20T00:00:00.000Z",2,"2008-04-21T00:00:00.000Z",NA,NA,"Produces a minimum of 1000 eggs (Ref. 1672).",NA,12278
"19",9214,47183,"Aequidens tubicen",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,57663
"20",9213,47181,"Aequidens viridis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,57661
"21",693,2231,"Alcolapia alcalica",2,"dioecism","external",NA,NA,NA,NA,"Throughout the year, but peaking once",0,11288,"bearers","external brooders","maternal","1",2,NA,NA,3,"1991-02-07T00:00:00.000Z",2,"2008-04-21T00:00:00.000Z",NA,NA,"Early in the morning before taking possession of their pits, the males feed on slimy algal growths-noisily. Sexual activity is greater after noon than before. Young male may build a small pit around that of a larger male and mate there with a small female (Ref. 2). Males prepare and guard nests, while females migrate from one nest to another. Males guard the nest against juveniles of their own species and other species which feed on the fertilized eggs which fall from the mouth of the female mouth brooder (Ref. 11288).",NA,2034
"22",692,2230,"Alcolapia grahami",2,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","1",2,NA,NA,3,"1991-02-08T00:00:00.000Z",2,"2008-04-21T00:00:00.000Z",NA,NA,"Male prepares a breeding pit, the structure of which may vary with the nature of the substratum. Breeding activities are more actively pursued by both sexes in the morning than in the afternoon. Female lays about 3-10 eggs at a time, picks them up instantly and the male swims with his genital papilla near the mouth, probably emitting sperm. Brooding period reportedly 12-16 days.  ",NA,2033
"23",8915,45106,"Alcolapia latilabris",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,54452
"24",8912,45103,"Alcolapia ndalalani",32272,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","1",32272,NA,NA,483,"1999-11-16T00:00:00.000Z",2,"2008-04-21T00:00:00.000Z",NA,NA,"Females carry eggs and larvae in their mouths (Ref. 32272).",NA,54450
"25",9857,52401,"Alticorpus geoffreyi",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,62418
"26",1259,2390,"Alticorpus macrocleithrum",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2008-04-21T00:00:00.000Z",NA,"2008-04-21T00:00:00.000Z",NA,NA,NA,NA,2191
