"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"1",5701,12358,"Belontia hasselti",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,339,"1998-08-20T00:00:00.000Z",2,"2017-07-19T00:00:00.000Z",NA,NA,"Produces 500-700 eggs.",NA,12032
"2",3515,6666,"Belontia signata",6028,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,"High",7020,10,"1996-09-30T00:00:00.000Z",97,"2006-08-04T00:00:00.000Z",NA,NA,"Male builds bubble nest under a leaf, a submerged overhanging rock or sometimes at the surface to hold the eggs. About 500 eggs are spawned. Eggs demersal, light pink, < 1 mm diameter. Male guards nest. Eggs hatch in 2-3 days after spawning. Both parents tend nest of larvae.",NA,6353
"3",5702,12359,"Betta akarensis",55025,NA,NA,NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,10,"2005-08-10T00:00:00.000Z",NA,"2005-08-10T00:00:00.000Z",NA,NA,"A paternal mouth brooder, exhibiting the typical egg exchange between female and male. After the nuptial embrace, the female picks up the fertilized egg from the male's curved body, proceeds to transfer the eggs to the male for oral brooding by spitting out the eggs and the male gulps the eggs into its buccal sac. Male sometimes rejects the eggs, but the female continues spitting and gulping the eggs until the male finally accepts. This process continues until all the fertilized eggs have been transferred, then another bout of egg laying occurs with the whole procedure repeated.",NA,12033
"4",5703,12360,"Betta anabatoides",2060,"dioecism","in brood pouch or similar structure",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1057,"2003-07-01T00:00:00.000Z",1057,"2003-07-01T18:20:06.000Z",NA,NA,"Male mouth brooder. ",NA,12034
"5",5704,12361,"Betta bellica",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,339,"1998-08-20T00:00:00.000Z",10,"1998-08-20T00:00:00.000Z",NA,NA,"Builds bubble-nest.",NA,12035
"6",7426,20380,"Betta chini",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-02T00:00:00.000Z",NA,"1998-04-02T00:00:00.000Z",NA,NA,"Assumed to be the same as in <i>Betta picta</i>, i.e., the male is carying the aggs in his mouth for about 10 days.",NA,25856
"7",7278,19894,"Betta coccina",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,339,"1998-08-20T00:00:00.000Z",10,"1998-08-20T00:00:00.000Z",NA,NA,"Male tends the bubble nest.",NA,25132
"8",6639,14921,"Betta edithae",2060,"dioecism","in brood pouch or similar structure",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1057,"2003-07-01T00:00:00.000Z",NA,"2003-07-01T00:00:00.000Z",NA,NA,"Male mouth brooder.",NA,15896
"9",6640,14922,"Betta foerschi",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1057,"2003-07-01T00:00:00.000Z",NA,"2003-07-01T00:00:00.000Z",NA,NA,"Builds bubble nests. Male mouth brooder. ",NA,15897
"10",10405,57867,"Betta hendra",93322,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,10,"2013-04-23T00:00:00.000Z",2,"2016-06-03T00:00:00.000Z",NA,NA,"A bubble-nester based on aquarium observations (Ref. 93322).",NA,66921
