"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"1",6105,13330,"Amioides polyacanthus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers",NA,NA,NA,NA,NA,NA,2,"2003-05-22T00:00:00.000Z",NA,"2003-05-22T00:00:00.000Z",NA,NA,"Distinct pairing during courtship and spawning (Ref. 205).",NA,13009
"2",7689,21315,"Apogon americanus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,27233
"3",7336,20126,"Apogon atradorsatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,25507
"4",8014,39258,"Apogon atricaudus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,46600
"5",1911,3717,"Apogon aurolineatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,3521
"6",6788,15554,"Apogon axillaris",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,17360
"7",1912,3718,"Apogon binotatus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,3522
"8",9239,47762,"Apogon caudicinctus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,58152
"9",2878,6045,"Apogon coccineus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,5752
"10",3231,13313,"Apogon crassiceps",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,12992
"11",7724,21506,"Apogon dammermani",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,27481
"12",8631,43269,"Apogon deetsie",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,51830
"13",7707,21366,"Apogon dhofar",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,27313
"14",11614,50118,"Apogon dianthus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2015-07-14T00:00:00.000Z",2,"2016-06-02T00:00:00.000Z",NA,NA,"Mouthbrooders. Distinct pairing during courtship and spawning (Ref. 205).",NA,60364
"15",2879,6046,"Apogon doryssa",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-12T00:00:00.000Z",2,"2001-07-12T00:00:00.000Z",NA,NA,"Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,5753
