"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"1",7788,38569,"Lonchopisthus higmani",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,27893
"2",2016,3880,"Opistognathus aurifrons",240,"dioecism","external","monogamy","obligate",52884,"1",NA,0,NA,"bearers","external brooders","paternal","1",52884,NA,NA,2,"2002-07-10T00:00:00.000Z",2,"2017-06-28T00:00:00.000Z",NA,NA,"Mouthbrooders. Eggs which are clumped together in a sticky ball get incubated inside the male's mouth (Ref. 5521).  Monogamous mating is observed irrespective of resource abundance (Ref. 52884).",NA,3684
"3",8887,45000,"Opistognathus brasiliensis",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-10T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,54310
"4",5196,10679,"Opistognathus castelnaui",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,10356
"5",8494,41932,"Opistognathus cuvierii",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,50137
"6",9354,48786,"Opistognathus darwiniensis",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,59066
"7",8548,42466,"Opistognathus decorus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,50817
"8",9350,48762,"Opistognathus dendriticus",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Eggs which are clumped together in a sticky egg ball get incubated inside the parent's mouth (Ref. 40511).",NA,59041
"9",7026,18673,"Opistognathus evermanni",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,23508
"10",9347,48759,"Opistognathus eximius",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Eggs which are clumped together in a sticky egg ball get incubated inside the parent's mouth (Ref. 40511).",NA,59038
"11",9355,48803,"Opistognathus fenmutis",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,59083
"12",8006,39240,"Opistognathus galapagensis",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,46576
"13",6691,15065,"Opistognathus gilberti",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,16444
"14",9346,48754,"Opistognathus hongkongiensis",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,59033
"15",7025,18672,"Opistognathus hopkinsi",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,23507
"16",2017,3882,"Opistognathus macrognathus",205,"dioecism","external","monogamy","facultative",52884,"1",NA,0,NA,"bearers","external brooders","paternal","1",205,NA,NA,2,"2005-05-30T00:00:00.000Z",2,"2017-06-28T00:00:00.000Z",NA,NA,"Displays facultative monogamy where males are constrained to mate with a single female due to resource limitation (Ref. 52884).  Males incubate the eggs in the mouth (Ref. 205).",NA,3686
"17",2018,3883,"Opistognathus maxillosus",205,"dioecism","external","monogamy","obligate",52884,"1",NA,0,NA,"bearers","external brooders","paternal","1",52884,NA,NA,2,"2001-07-20T00:00:00.000Z",2,"2017-06-28T00:00:00.000Z",NA,NA,"Males incubate the eggs in the mouth (Ref. 33037, 39363).",NA,3687
"18",2019,3885,"Opistognathus whitehursti",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2001-07-20T00:00:00.000Z",NA,"2001-07-20T00:00:00.000Z",NA,NA,"Are mouthbrooders (Ref. 39363).",NA,3689
"19",9118,46510,"Stalix davidsheni",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,56472
"20",9349,48761,"Stalix dicra",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Eggs which are clumped together in a sticky egg ball get incubated inside the parent's mouth (Ref. 40511).",NA,59040
"21",9348,48760,"Stalix eremia",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Eggs which are clumped together in a sticky egg ball get incubated inside the parent's mouth (Ref. 40511).",NA,59039
"22",9345,48753,"Stalix flavida",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,59032
"23",7024,18670,"Stalix histrio",240,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,2,"2002-07-11T00:00:00.000Z",NA,"2002-07-11T00:00:00.000Z",NA,NA,"Employ mouthbrooding to care for their young (Ref. 240).",NA,23505
