,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
1,Anabas cobojius,external,NA,NA,NA,n
2,Anabas testudineus,external,clutch tenders,NA,Guards eggs at the surface of hypoxic waters (Ref. 7471).,n
3,Ctenopoma acutirostre,external,open water/substratum egg scatterers,none,NA,n
4,Ctenopoma kingsleyae,external,open water/substratum egg scatterers,none,"Produces up to 20,000 eggs.",n
5,Ctenopoma maculatum,external,open water/substratum egg scatterers,none,NA,n
6,Ctenopoma multispine,external,open water/substratum egg scatterers,none,NA,n
7,Ctenopoma muriei,external,open water/substratum egg scatterers,none,Produces 10-30 eggs during night time.,n
8,Ctenopoma nigropannosum,external,NA,NA,Oviparous (Ref. 205).,n
9,Ctenopoma ocellatum,external,open water/substratum egg scatterers,none,NA,n
10,Ctenopoma pellegrini,external,open water/substratum egg scatterers,none,NA,n
11,Ctenopoma weeksii,external,open water/substratum egg scatterers,none,NA,n
12,Microctenopoma ansorgii,external,nesters,NA,NA,n
13,Microctenopoma congicum,NA,nesters,NA,Builds bubble nests.,n
14,Microctenopoma damasi,external,nesters,NA,Eggs are deposited in bubble nests (Ref. 41595).,n
15,Microctenopoma fasciolatum,NA,nesters,NA,Builds bubble-nests.,n
16,Microctenopoma nanum,external,nesters,NA,NA,n
17,Microctenopoma pekkolai,NA,nesters,NA,Builds bubble-nests.,n
18,Sandelia bainsii,external,clutch tenders,NA,"Male prepares the spawning site and guards the eggs. Substrate spawners (Ref. 41595). Upon hatching, larvae adhered permanently to the substrate at the nesting site where they were guarded by the male (Ref. 41595).",n
19,Sandelia capensis,external,clutch tenders,NA,"Males guard the eggs. Substrate spawners (Ref. 41595). Upon hatching, larvae adhered permanently to the substrate at the nesting site where they were guarded by the male (Ref. 41595).",n
