,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
1,Amioides polyacanthus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
2,Apogon americanus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
3,Apogon atradorsatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
4,Apogon atricaudus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
5,Apogon aurolineatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
6,Apogon axillaris,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
7,Apogon binotatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
8,Apogon caudicinctus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
9,Apogon coccineus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
10,Apogon crassiceps,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
11,Apogon dammermani,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
12,Apogon deetsie,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
13,Apogon dhofar,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
14,Apogon dianthus,external,external brooders,NA,Mouthbrooders. Distinct pairing during courtship and spawning (Ref. 205).,Y
15,Apogon doryssa,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
16,Apogon dovii,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
17,Apogon erythrinus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
18,Apogon guadalupensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
19,Apogon imberbis,internal (oviduct),external brooders,paternal,"Males incubate eggs in buccal cavity (Ref. 205, 4738, 74407).  Embryos do not feed externally in the buccal cavity.  Distinct pairing during courtship and spawning (Ref. 205).  Internal fertilization and paternal care by mouthbrooding is found to be a rare combination of reproductive strategy (Ref. 74407).  Also Ref. 240.",Y
20,Apogon indicus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
21,Apogon lachneri,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
22,Apogon lativittatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
23,Apogon leptocaulus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
24,Apogon maculatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Spawning may occur throughout the year (Ref. 39366). Distinct pairing during courtship and spawning (Ref. 205).,Y
25,Apogon marquesensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
26,Apogon mosavi,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
27,Apogon nitidus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
28,Apogon pacificus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
29,Apogon phenax,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
30,Apogon pillionatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
31,Apogon planifrons,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
32,Apogon pseudomaculatus,external,external brooders,NA,"Mouthbrooders (Ref. 240, 39366, 58874). Distinct pairing during courtship and spawning (Ref. 205).",Y
33,Apogon quadrisquamatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
34,Apogon retrosella,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
35,Apogon robbyi,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
36,Apogon robinsi,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
37,Apogon semiornatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
38,Apogon susanae,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
39,Apogon talboti,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
40,Apogon townsendi,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
41,Apogon unicolor,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
42,Apogon unitaeniatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
43,Apogonichthyoides atripes,external,NA,NA,NA,?
44,Apogonichthyoides brevicaudatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
45,Apogonichthyoides cathetogramma,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
46,Apogonichthyoides chrysurus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
47,Apogonichthyoides gardineri,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
48,Apogonichthyoides heptastygma,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
49,Apogonichthyoides maculipinnis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
50,Apogonichthyoides melas,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
51,Apogonichthyoides niger,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
52,Apogonichthyoides nigripinnis,external,external brooders,paternal,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
53,Apogonichthyoides opercularis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
54,Apogonichthyoides pseudotaeniatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
55,Apogonichthyoides regani,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
56,Apogonichthyoides taeniatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
57,Apogonichthyoides timorensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
58,Apogonichthyoides umbratilis,external,external brooders,NA,Mouthbrooders. Distinct pairing during courtship and spawning (Ref. 205).,Y
59,Apogonichthyoides uninotatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
60,Apogonichthys landoni,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
61,Apogonichthys ocellatus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
62,Apogonichthys perdix,external,external brooders,paternal,Displays obligate monogamy where a one-to-one pair is established irrespective of resource abundance (Ref. 52884).,Y
63,Archamia bleekeri,external,external brooders,NA,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
64,Astrapogon alutus,external,external brooders,NA,Are mouthbrooders (Ref. 240). DDistinct pairing during courtship and spawning (Ref. 205).,Y
65,Astrapogon puncticulatus,external,external brooders,NA,"Are mouthbrooders (Ref. 240, 58877). Distinct pairing during courtship and spawning (Ref. 205).",Y
66,Astrapogon stellatus,external,external brooders,NA,"Are mouthbrooders (Ref. 240, 58876). Distinct pairing during courtship and spawning (Ref. 205).",Y
67,Cercamia cladara,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
68,Cercamia eremia,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
69,Cheilodipterus alleni,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
70,Cheilodipterus arabicus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
71,Cheilodipterus artus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
72,Cheilodipterus intermedius,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
73,Cheilodipterus isostigmus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
74,Cheilodipterus lachneri,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
75,Cheilodipterus macrodon,external,external brooders,paternal,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).  Displays obligate monogamy where a one-to-one pair is established irrespective of resource abundance (Ref. 52884).,Y
