,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
1,Abactochromis labrosus,in mouth,external brooders,maternal,NA,Y
2,Acarichthys heckelii,external,nesters,NA,A hole nester.      ,N
3,Acaronia nassa,external,clutch tenders,biparental,Spawn on horizontal surface. Female tends eggs and male defends territory (Ref. 40602).,N
4,Acaronia vultuosa,external,NA,NA,NA,N
5,Aequidens chimantanus,external,NA,NA,NA,N
6,Aequidens diadema,external,external brooders,biparental,"Spawns on substrate; after hatching, both parents take larvae into mouth (Ref. 40602).",N
7,Aequidens epae,external,NA,NA,NA,n
8,Aequidens gerciliae,external,NA,NA,NA,n
9,Aequidens hoehnei,external,clutch tenders,biparental,Both parents guard the eggs and young (Ref. 40602).,n
10,Aequidens mauesanus,external,NA,NA,NA,n
11,Aequidens metae,external,clutch tenders,NA,NA,n
12,Aequidens michaeli,external,clutch tenders,biparental,Eggs are deposited on hard substrate; eggs and larvae are defended by both parents (Ref. 40602).,n
13,Aequidens pallidus,external,clutch tenders,NA,Not a larvophil mouthbrooder (Ref. 40602).,n
14,Aequidens patricki,external,clutch tenders,NA,NA,n
15,Aequidens plagiozonatus,external,NA,NA,NA,n
16,Aequidens potaroensis,external,clutch tenders,biparental,Spawns on hard substrate: parents defend eggs and larvae (Ref. 40602).,n
17,Aequidens rondoni,external,NA,NA,NA,n
18,Aequidens tetramerus,external,clutch tenders,biparental,Produces a minimum of 1000 eggs (Ref. 1672).,n
19,Aequidens tubicen,external,NA,NA,NA,n
20,Aequidens viridis,external,NA,NA,NA,n
21,Alcolapia alcalica,external,external brooders,maternal,"Early in the morning before taking possession of their pits, the males feed on slimy algal growths-noisily. Sexual activity is greater after noon than before. Young male may build a small pit around that of a larger male and mate there with a small female (Ref. 2). Males prepare and guard nests, while females migrate from one nest to another. Males guard the nest against juveniles of their own species and other species which feed on the fertilized eggs which fall from the mouth of the female mouth brooder (Ref. 11288).",y
22,Alcolapia grahami,in mouth,external brooders,maternal,"Male prepares a breeding pit, the structure of which may vary with the nature of the substratum. Breeding activities are more actively pursued by both sexes in the morning than in the afternoon. Female lays about 3-10 eggs at a time, picks them up instantly and the male swims with his genital papilla near the mouth, probably emitting sperm. Brooding period reportedly 12-16 days.  ",y
23,Alcolapia latilabris,external,NA,NA,NA,?
24,Alcolapia ndalalani,external,external brooders,maternal,Females carry eggs and larvae in their mouths (Ref. 32272).,y
25,Alticorpus geoffreyi,external,NA,NA,NA,?
26,Alticorpus macrocleithrum,external,NA,NA,NA,?
27,Alticorpus mentale,external,NA,NA,NA,?
28,Alticorpus peterdaviesi,external,NA,NA,NA,?
29,Alticorpus profundicola,external,NA,NA,NA,?
30,Altolamprologus calvus,external,clutch tenders,maternal,"The female guards the eggs, about 200 in number (Ref. 2060).",n
31,Altolamprologus compressiceps,external,clutch tenders,NA,NA,n
32,Amatitlania coatepeque,external,NA,NA,NA,?
33,Amatitlania kanna,external,NA,NA,NA,?
34,Amatitlania nigrofasciata,external,nesters,biparental,"Lays eggs on cleaned surfaces of rocks. Parents incubate eggs and guard young. Tends and fans the embryos and free embryos and transfers them several times into new pits excavated in the bottom using its mouth (huddling) (Ref. 34155).Dark cavities are preferred as nests to conceal the brood and make them less conspicuous to visual predators (Ref. 38966). When in caves, single entrances are favored to reduce the probability of intrusion and are probably more manageable for the females in terms of defending their brood (Ref. 38966). Approximately 100-150 eggs are deposited and are vigorously guarded and cared for by both male and female (Ref. 44091).",n
35,Amatitlania siquia,external,NA,NA,NA,?
36,Amphilophus alfari,external,clutch tenders,NA,NA,n
37,Amphilophus altifrons,external,clutch tenders,NA,NA,n
38,Amphilophus amarillo,external,NA,NA,NA,?
39,Amphilophus astorquii,external,NA,NA,NA,?
40,Amphilophus bussingi,external,NA,NA,NA,?
41,Amphilophus calobrensis,external,NA,NA,NA,?
42,Amphilophus chancho,external,NA,NA,NA,?
43,Amphilophus citrinellus,external,nesters,biparental,"Spawn preferentially on the ceiling of natural caves (Ref. 38966). Deposit eggs on hard substrates, such as rocks or logs; both parents  guarding the eggs and the fry for several weeks (Ref. 44091). 300-1000 eggs (Ref. 2060).",n
44,Amphilophus diquis,external,NA,NA,NA,?
45,Amphilophus flaveolus,external,NA,NA,NA,?
46,Amphilophus hogaboomorum,external,NA,NA,NA,?
47,Amphilophus labiatus,external,nesters,maternal,"600-700 eggs, female tends the clutch (Ref. 2060).",n
48,Amphilophus longimanus,external,nesters,NA,NA,n
49,Amphilophus lyonsi,external,NA,NA,NA,?
50,Amphilophus macracanthus,external,NA,NA,NA,?
51,Amphilophus margaritifer,external,NA,NA,NA,?
52,Amphilophus nourissati,external,NA,NA,NA,?
53,Amphilophus rhytisma,external,NA,NA,NA,?
54,Amphilophus robertsoni,external,clutch tenders,NA,"Generally spawns in open pits or depressions in the sand. Cleans an area about 12-18 inches in diameter and patrols an area about 1-2 cubic meters, diligently warding off intruders.",n
55,Amphilophus rostratus,external,clutch tenders,NA,NA,n
56,Amphilophus sagittae,external,NA,NA,NA,?
57,Amphilophus xiloaensis,external,NA,NA,NA,?
58,Amphilophus zaliosus,external,NA,NA,NA,?
