,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
1,Lonchopisthus higmani,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
2,Opistognathus aurifrons,external,external brooders,paternal,Mouthbrooders. Eggs which are clumped together in a sticky ball get incubated inside the male's mouth (Ref. 5521).  Monogamous mating is observed irrespective of resource abundance (Ref. 52884).,y
3,Opistognathus brasiliensis,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
4,Opistognathus castelnaui,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
5,Opistognathus cuvierii,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
6,Opistognathus darwiniensis,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
7,Opistognathus decorus,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
8,Opistognathus dendriticus,external,external brooders,NA,Eggs which are clumped together in a sticky egg ball get incubated inside the parent's mouth (Ref. 40511).,y
9,Opistognathus evermanni,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
10,Opistognathus eximius,external,external brooders,NA,Eggs which are clumped together in a sticky egg ball get incubated inside the parent's mouth (Ref. 40511).,y
11,Opistognathus fenmutis,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
12,Opistognathus galapagensis,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
13,Opistognathus gilberti,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
14,Opistognathus hongkongiensis,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
15,Opistognathus hopkinsi,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
16,Opistognathus macrognathus,external,external brooders,paternal,Displays facultative monogamy where males are constrained to mate with a single female due to resource limitation (Ref. 52884).  Males incubate the eggs in the mouth (Ref. 205).,y
17,Opistognathus maxillosus,external,external brooders,paternal,"Males incubate the eggs in the mouth (Ref. 33037, 39363).",y
18,Opistognathus whitehursti,external,external brooders,NA,Are mouthbrooders (Ref. 39363).,y
19,Stalix davidsheni,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
20,Stalix dicra,external,external brooders,NA,Eggs which are clumped together in a sticky egg ball get incubated inside the parent's mouth (Ref. 40511).,y
21,Stalix eremia,external,external brooders,NA,Eggs which are clumped together in a sticky egg ball get incubated inside the parent's mouth (Ref. 40511).,y
22,Stalix flavida,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
23,Stalix histrio,external,external brooders,NA,Employ mouthbrooding to care for their young (Ref. 240).,y
