,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
1,Belontia hasselti,external,open water/substratum egg scatterers,none,Produces 500-700 eggs.,n
2,Belontia signata,external,nesters,NA,"Male builds bubble nest under a leaf, a submerged overhanging rock or sometimes at the surface to hold the eggs. About 500 eggs are spawned. Eggs demersal, light pink, < 1 mm diameter. Male guards nest. Eggs hatch in 2-3 days after spawning. Both parents tend nest of larvae.",n
3,Betta akarensis,NA,external brooders,NA,"A paternal mouth brooder, exhibiting the typical egg exchange between female and male. After the nuptial embrace, the female picks up the fertilized egg from the male's curved body, proceeds to transfer the eggs to the male for oral brooding by spitting out the eggs and the male gulps the eggs into its buccal sac. Male sometimes rejects the eggs, but the female continues spitting and gulping the eggs until the male finally accepts. This process continues until all the fertilized eggs have been transferred, then another bout of egg laying occurs with the whole procedure repeated.",y
4,Betta anabatoides,in brood pouch or similar structure,external brooders,NA,Male mouth brooder. ,y
5,Betta bellica,external,nesters,NA,Builds bubble-nest.,n
6,Betta chini,external,external brooders,NA,"Assumed to be the same as in <i>Betta picta</i>, i.e., the male is carying the aggs in his mouth for about 10 days.",y
7,Betta coccina,external,nesters,NA,Male tends the bubble nest.,n
8,Betta edithae,in brood pouch or similar structure,external brooders,NA,Male mouth brooder.,y
9,Betta foerschi,external,nesters,NA,Builds bubble nests. Male mouth brooder. ,y
10,Betta hendra,NA,nesters,NA,A bubble-nester based on aquarium observations (Ref. 93322).,n
11,Betta imbellis,external,nesters,NA,Eggs shrink to the bottom and were then collected by one or both parents and were embedded among the foam bubbles in the nest (Ref. 41595).,n
12,Betta macrostoma,external,external brooders,NA,Male carries the eggs in the mouth.,y
13,Betta mahachaiensis,NA,clutch tenders,biparental,NA,n
14,Betta pugnax,external,external brooders,NA,Spawns in a depression on the substrate. Male broods the eggs in his mouth until hatching (Ref. 13061). Produces a minimum of 100 eggs (Ref. 1672).,y
15,Betta pulchra,external,external brooders,NA,Exhibits paternal mouthbrooding habit.,y
16,Betta rubra,external,external brooders,paternal,NA,y
17,Betta smaragdina,external,nesters,NA,Builds bubble-nest.,n
18,Betta splendens,external,nesters,paternal,Builds bubble-nest which is guarded by male.,n
19,Luciocephalus pulcher,external,external brooders,NA,Males are mouthbrooding for about 30 days.,y
20,Macropodus opercularis,external,nesters,NA,"The species is a bubble-nest builder; the male swims to the surface, draws a little air into his mouth and envelops it in a film of saliva thereby forming bubbles; upon building the nest, the male drives the female towards it; female spawns then male follows; male picks up the fertilized eggs in his mouth and pushes one by one into each bubble of the nest; male guards eggs until hatching (Ref. 5258). Produces up to 500 eggs (Ref. 1672).",n
21,Macropodus spechti,external,nesters,NA,Eggs are deposited in bubble nests (Ref. 41595).,n
22,Malpulutta kretseri,external,nesters,NA,"Male builds the bubble nest. Spawns 100 to 200 whitish eggs in batches in the course of a period between 1 to 12 hours. Eggs sink to the bottom and both parents pick them up and place them in the nest, usually built under a submerged leaf, after fertilization. Eggs hatch in 2 days. Male solely guards the eggs and young until they reach free-swimming stage and are independent one week after spawning.",n
